deployment_waterbody,location_description,lease,status,deployment,retrieval,duration,logger_latitude,logger_longitude,logger_model,serial,sensor_depth,sounding,datum,mount_type,acoustic_release,surface_buoy,deployment_attendant,retrieval_attendant,comments,deployment_waypoint,retrieval_waypoint,retrieval_latitude,retrieval_longitude,sensor_voltage_deployed,sensor_voltage_retrieved,vessel_sounder_offset_transponder_depth,verified_measurement_below_origin_first_sensor_under_float,tide_correction,rising_or_falling,height_of_vr_2_ar_base_off_bottom,time_of_deployment,photos_taken,anchor_type,float_type,distance_from_top_of_float_to_origin_first_sensor,deployment_time,retrieval_time,dist_to_shore,substrate,deployment_notes,retrieval_notes,configuration,mooring_type,data_processor_notes,data_handler_notes,lease_maybe,latitude_maybe,longitude_maybe,depth_maybe,depth_of_water_m,15,secondary_float_type,distance_from_top_of_float_to_origin_first_sensor_1
Whycocomagh Bay,Aberdeen,NA,Retrieved,2018-06-01,2018-08-21,81,45.976083,-61.022683,HOBO Pro V2,10755206,3,33,NA,NA,N,N,Bruce Hatcher,NA,"Vertical Chain of 4 HOBOs, 2 DOTs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whycocomagh Bay,Aberdeen,NA,Retrieved,2018-06-01,2018-08-21,81,45.976083,-61.022683,aquaMeasure DOT,670290,5,33,NA,NA,N,N,Bruce Hatcher,NA,"Vertical Chain of 4 HOBOs, 2 DOTs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whycocomagh Bay,Aberdeen,NA,Retrieved,2018-06-01,2018-08-21,81,45.976083,-61.022683,HOBO Pro V2,10817503,10,33,NA,NA,N,N,Bruce Hatcher,NA,"Vertical Chain of 4 HOBOs, 2 DOTs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whycocomagh Bay,Aberdeen,NA,Retrieved,2018-06-01,2018-08-21,81,45.976083,-61.022683,HOBO Pro V2,10778922,18,33,NA,NA,N,N,Bruce Hatcher,NA,"Vertical Chain of 4 HOBOs, 2 DOTs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whycocomagh Bay,Aberdeen,NA,Retrieved,2018-06-01,2018-08-21,81,45.976083,-61.022683,HOBO Pro V2,10777103,23,33,NA,NA,N,N,Bruce Hatcher,NA,"Vertical Chain of 4 HOBOs, 2 DOTs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whycocomagh Bay,Aberdeen,NA,Retrieved,2018-06-01,2018-08-21,81,45.976083,-61.022683,aquaMeasure DOT,670296,28,33,NA,NA,N,N,Bruce Hatcher,NA,"Vertical Chain of 4 HOBOs, 2 DOTs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Margarets Bay,Birchy Head,NA,Retrieved,2018-02-20,2018-04-25,64,44.57130379,-64.035121470000007,aquaMeasure DOT,670299,2,NA,NA,NA,NA,N,"Todd Mosher, Matt King",NA,CMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Margarets Bay,Birchy Head,NA,Retrieved,2018-02-20,2018-04-25,64,44.57130379,-64.035121470000007,DST Comp,211,5,NA,NA,NA,NA,N,"Todd Mosher, Matt King",NA,CMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Margarets Bay,Birchy Head,NA,Retrieved,2018-02-20,2018-04-25,64,44.57130379,-64.035121470000007,aquaMeasure DOT,670350,5,NA,NA,NA,NA,N,"Todd Mosher, Matt King",NA,CMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Margarets Bay,Birchy Head,NA,Retrieved,2018-02-20,2018-04-25,64,44.57130379,-64.035121470000007,HOBO Pro V2,10817503,10,NA,NA,NA,NA,N,"Todd Mosher, Matt King",NA,CMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Margarets Bay,Birchy Head,NA,Retrieved,2018-02-20,2018-04-25,64,44.57130379,-64.035121470000007,HOBO Pro V2,10194899,15,NA,NA,NA,NA,N,"Todd Mosher, Matt King",NA,CMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Margarets Bay,Birchy Head,NA,Retrieved,2018-02-20,2018-04-25,64,44.57130379,-64.035121470000007,aquaMeasure DOT,670351,20,NA,NA,NA,NA,N,"Todd Mosher, Matt King",NA,CMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Margarets Bay,Birchy Head,NA,Retrieved,2018-02-20,2018-04-25,64,44.57130379,-64.035121470000007,HOBO Pro V2,10779129,30,NA,NA,NA,NA,N,"Todd Mosher, Matt King",NA,CMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Margarets Bay,Birchy Head,NA,Retrieved,2018-02-20,2018-04-25,64,44.57130379,-64.035121470000007,VR2AR,547087,40,NA,NA,NA,NA,N,"Todd Mosher, Matt King",NA,CMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green Harbour,Blue Island,NA,Retrieved,2018-02-13,2018-05-14,90,43.68621,-65.16825,aquaMeasure DOT,670293,2,NA,NA,NA,NA,N,"Todd Mosher, Matt King","Todd Mosher, David Cook",CMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green Harbour,Blue Island,NA,Retrieved,2018-02-13,2018-05-14,90,43.68621,-65.16825,DST Comp,359,5,NA,NA,NA,NA,N,"Todd Mosher, Matt King","Todd Mosher, David Cook",CMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green Harbour,Blue Island,NA,Retrieved,2018-02-13,2018-05-14,90,43.68621,-65.16825,aquaMeasure DOT,670294,5,NA,NA,NA,NA,N,"Todd Mosher, Matt King","Todd Mosher, David Cook",CMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green Harbour,Blue Island,NA,Retrieved,2018-02-13,2018-05-14,90,43.68621,-65.16825,VR2AR,547095,10,NA,NA,NA,NA,N,"Todd Mosher, Matt King","Todd Mosher, David Cook",CMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shoal Bay,Borgles Island,NA,Retrieved,2018-02-28,2018-09-13,197,44.77437,-62.72518,aquaMeasure DOT,670363,2,NA,NA,NA,NA,N,"Todd Mosher, Matt King, David Cook",NA,CMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shoal Bay,Borgles Island,NA,Retrieved,2018-02-28,2018-09-13,197,44.77437,-62.72518,aquaMeasure DOT,670364,5,NA,NA,NA,NA,N,"Todd Mosher, Matt King, David Cook",NA,CMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shoal Bay,Borgles Island,NA,Retrieved,2018-02-28,2018-09-13,197,44.77437,-62.72518,VR2AR,547109,10,NA,NA,NA,NA,N,"Todd Mosher, Matt King, David Cook",NA,CMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Annapolis Basin,Cornwallis,NA,Retrieved,2020-06-11,2020-11-22,164,44.66939,-65.64479,aquaMeasure DOT,670367,1,10.5,WGS84,Sub Surface Buoy,Yes,No,Timothy Dada & Danny Rowe,"Mark Decker, Timothy Dada, Michelle Plamondon, Karen Campbell",DD; rounded depth of VR2AR to be consistent with following deployment. Changed Sounding to match NSDFA tracking and be consistent with other deployment,NA,NA,NA,NA,1.6400000000000001,NA,0.3,0.5,NA,Rising,0.5,15:39:00,Yes,2 Steel Chains,Vinyl,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Annapolis Basin,Cornwallis,NA,Retrieved,2020-06-11,2020-11-22,164,44.66939,-65.64479,VR2AR,547089,2,10.5,WGS84,Sub Surface Buoy,Yes,No,Timothy Dada & Danny Rowe,"Mark Decker, Timothy Dada, Michelle Plamondon, Karen Campbell",NA,NA,NA,NA,NA,1.6400000000000001,NA,0.3,1.4,NA,Rising,0.5,15:39:00,Yes,2  Steel Chains,Vinyl,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sheet Harbour,East Gibbs Island,NA,Retrieved,2018-02-28,2018-09-13,197,44.83858,-62.51107,aquaMeasure DOT,670382,2,NA,NA,NA,NA,N,"Todd Mosher, Matt King, David Cook",NA,CMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sheet Harbour,East Gibbs Island,NA,Retrieved,2018-02-28,2018-09-13,197,44.83858,-62.51107,aquaMeasure DOT,670383,5,NA,NA,NA,NA,N,"Todd Mosher, Matt King, David Cook",NA,CMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sheet Harbour,East Gibbs Island,NA,Retrieved,2018-02-28,2018-09-13,197,44.83858,-62.51107,HOBO Pro V2,20291447,10,NA,NA,NA,NA,N,"Todd Mosher, Matt King, David Cook",NA,CMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sheet Harbour,East Gibbs Island,NA,Retrieved,2018-02-28,2018-09-13,197,44.83858,-62.51107,HOBO Pro V2,20291432,15,NA,NA,NA,NA,N,"Todd Mosher, Matt King, David Cook",NA,CMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sheet Harbour,East Gibbs Island,NA,Retrieved,2018-02-28,2018-09-13,197,44.83858,-62.51107,HOBO Pro V2,20291430,20,NA,NA,NA,NA,N,"Todd Mosher, Matt King, David Cook",NA,CMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sheet Harbour,East Gibbs Island,NA,Retrieved,2018-02-28,2018-09-13,197,44.83858,-62.51107,VR2AR,547112,30,NA,NA,NA,NA,N,"Todd Mosher, Matt King, David Cook",NA,CMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tor Bay,English Harbour,NA,Retrieved,2019-02-05,2019-04-02,56,45.25007,-61.29866,aquaMeasure SAL,680155,2,13,NA,NA,NA,N,"Toby Balch, Matt Hatcher, Josh Hatt","Toby Balch, Matt Hatcher, David Cook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tor Bay,English Harbour,NA,Retrieved,2019-02-05,2019-04-02,56,45.25007,-61.29866,aquaMeasure DOT,675008,5,13,NA,NA,NA,N,"Toby Balch, Matt Hatcher, Josh Hatt","Toby Balch, Matt Hatcher, David Cook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tor Bay,English Harbour,NA,Retrieved,2019-02-05,2019-04-02,56,45.25007,-61.29866,HOBO Pro V2,10034850,10,13,NA,NA,NA,N,"Toby Balch, Matt Hatcher, Josh Hatt","Toby Balch, Matt Hatcher, David Cook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tor Bay,English Harbour,NA,Retrieved,2019-02-05,2019-04-02,56,45.25007,-61.29866,VR2AR,548044,11,13,NA,NA,NA,N,"Toby Balch, Matt Hatcher, Josh Hatt","Toby Balch, Matt Hatcher, David Cook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whitehead Harbour,Fishermans Island,904,Retrieved,2018-10-26,2019-04-18,174,45.24045,-61.16833,TidbiT MX2203,20405706,1,45,NA,NA,NA,Y,David Cook,David Cook,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whitehead Harbour,Fishermans Island,904,Retrieved,2018-10-26,2019-04-18,174,45.24045,-61.16833,aquaMeasure DOT,670374,5,45,NA,NA,NA,Y,David Cook,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whitehead Harbour,Fishermans Island,904,Retrieved,2018-10-26,2019-04-18,174,45.24045,-61.16833,HOBO Pro V2,10777103,10,45,NA,NA,NA,Y,David Cook,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whitehead Harbour,Fishermans Island,904,Lost,2018-10-26,2019-04-18,174,45.24045,-61.16833,TidbiT MX2203,20405710,20,45,NA,NA,NA,Y,David Cook,David Cook,Lost overboard by B&S staff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whitehead Harbour,Fishermans Island,904,Retrieved,2018-10-26,2019-04-18,174,45.24045,-61.16833,HOBO Pro V2,10778917,30,45,NA,NA,NA,Y,David Cook,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whitehead Harbour,Fishermans Island,904,Retrieved,2018-10-26,2019-04-18,174,45.24045,-61.16833,HOBO Pro V2,10778920,44,45,NA,NA,NA,Y,David Cook,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Negro Harbour,Ingomar,NA,Retrieved,2018-02-13,2018-05-14,90,43.52369502,-65.35572913,aquaMeasure DOT,670291,2,NA,NA,NA,NA,N,"Todd Mosher, Matt King","Todd Mosher, David Cook",CMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Negro Harbour,Ingomar,NA,Retrieved,2018-02-13,2018-05-14,90,43.52369502,-65.35572913,aquaMeasure DOT,670292,5,NA,NA,NA,NA,N,"Todd Mosher, Matt King","Todd Mosher, David Cook",CMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Negro Harbour,Ingomar,NA,Retrieved,2018-02-13,2018-05-14,90,43.52369502,-65.35572913,HOBO Pro V2,10034873,10,NA,NA,NA,NA,N,"Todd Mosher, Matt King","Todd Mosher, David Cook",CMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Negro Harbour,Ingomar,NA,Retrieved,2018-02-13,2018-05-14,90,43.52369502,-65.35572913,VR2AR,547096,16,NA,NA,NA,NA,N,"Todd Mosher, Matt King","Todd Mosher, David Cook",CMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arichat Harbour,Kavanagh Point,692,Retrieved,2015-11-26,2016-09-01,279.8333333,45.49823692,-61.01930751,HOBO Pro V2,10755201,1.5,20,NA,NA,NA,N,"Jessica Feindel, Nathaniel Feindel, Vicki Swan","Nathaniel Feindel, Vicki Swan",Converted Sensor_Depth from 5ft,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arichat Harbour,Kavanagh Point,692,Retrieved,2015-11-26,2016-09-01,279.8333333,45.49823692,-61.01930751,HOBO Pro V2,10755235,9,20,NA,NA,NA,N,"Jessica Feindel, Nathaniel Feindel, Vicki Swan","Nathaniel Feindel, Vicki Swan",Converted Sensor_Depth from 30ft,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arichat Harbour,Kavanagh Point,692,Retrieved,2015-11-26,2016-09-01,279.8333333,45.49823692,-61.01930751,HOBO Pro V2,10194877,22,20,NA,NA,NA,N,"Jessica Feindel, Nathaniel Feindel, Vicki Swan","Nathaniel Feindel, Vicki Swan","Sensor_Depth was originally ""bottom"". Added 2m to the Sounding to account for depth sounder on boat being ~2m below the water line.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arichat Harbour,Kavanagh Point,692,Retrieved,2016-09-01,2019-01-04,855,45.49823692,-61.01930751,HOBO Pro V2,10755223,2,18,NA,NA,NA,N,"Nathaniel Feindel, Vicki Swan",Aleasha Boudreau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arichat Harbour,Kavanagh Point,692,Retrieved,2016-09-01,2019-01-04,855,45.49823692,-61.01930751,HOBO Pro V2,10817501,10,18,NA,NA,NA,N,"Nathaniel Feindel, Vicki Swan",Aleasha Boudreau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arichat Harbour,Kavanagh Point,692,Retrieved,2016-09-01,2019-01-04,855,45.49823692,-61.01930751,HOBO Pro V2,10755208,20,18,NA,NA,NA,N,"Nathaniel Feindel, Vicki Swan",Aleasha Boudreau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tor Bay,Larrys River,NA,Retrieved,2019-02-05,2019-04-02,56,45.20768,-61.35319,aquaMeasure SAL,680154,2,11,NA,NA,NA,N,"Toby Balch, Matt Hatcher, Josh Hatt","Toby Balch, Matt Hatcher, David Cook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tor Bay,Larrys River,NA,Retrieved,2019-02-05,2019-04-02,56,45.20768,-61.35319,aquaMeasure DOT,675011,5,11,NA,NA,NA,N,"Toby Balch, Matt Hatcher, Josh Hatt","Toby Balch, Matt Hatcher, David Cook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tor Bay,Larrys River,NA,Retrieved,2019-02-05,2019-04-02,56,45.20768,-61.35319,VR2AR,548041,9,11,NA,NA,NA,N,"Toby Balch, Matt Hatcher, Josh Hatt","Toby Balch, Matt Hatcher, David Cook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Broad,Broad 1 Dirt Road 1,NA,Retrieved,2022-08-03,2022-10-04,61.61666667,43.9745827,-64.8817167,HOBO Pro V2,20308047,0.2,NA,NA,Cinderblock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16:32:00,07:20:00,10,"Bedrock, boulders","Deployed directly under the middle of the bridge in deepest pool. Very low flowing river. Green rope tied to the side of the bridge closest to Liverpool. VERY difficult access - beware of following GPS instructions. Coordinates not plotting in exact spot, see map in images. Need truck to access",River had much higher flow than deployment. Way more water. Murky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Medway,Medway 1 Bangs Falls 1,NA,Retrieved,2022-08-03,2022-10-04,61.98194444,44.2456899,-64.8295769,HOBO Pro V2,20291446,0.5,NA,NA,Cinderblock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10:56:00,10:30:00,5,"Gravel, algae covered",Clear trail leading to a homemade bridge. Sensor to the right around bridge.,Water about 1/2 foot deeper than when we deployed. Flowing slightly faster,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Medway,Medway 2 Big Cove 1,NA,Retrieved,2022-08-03,2022-10-04,62.02430556,44.2223149,-64.7767069,HOBO Pro V2,10755213,1,NA,NA,Cinderblock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10:14:00,10:49:00,3,"Mud, Large Rocks, Boulders",Clear parking space in trees next to power poles.,Water about 2 feet deeper. Only anchor visible,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Medway,Medway 3 Greenfield 1,NA,Retrieved,2022-08-03,2022-10-04,61.95833333,44.2707112,-64.8430436,HOBO Pro V2,20291445,0.5,NA,NA,Cinderblock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11:19:00,10:19:00,3,"Cobbles, boulders, bedrock","No clear parking space. Parked on opposite side of river to gas station, upstream of bridge where trees end on the left side of chapel hill drive. River left. Small trail/bushwhack down to river. Local woman said in October she's seen salmon come up the river in 30-40 ""bunches"". ASF has been doing temperature and other experiments on the river and monitoring Atlantic salmon",Water about 1/2 foot deeper than when we deployed. Flowing slightly faster,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mersey,Mersey 1 River Road Offshoot 1,NA,Retrieved,2022-08-03,2022-10-04,61.83402778,44.0772975,-64.7828016,HOBO Pro V2,10817496,1,NA,NA,Cinderblock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13:55:00,NA,NA,NA,NA,NA,09:56:00,3,"Mud, cobbles, some boulders",Path obbosite blue house near where power lines cross the road. No parking space.,Water level and flow similar to deployment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mersey,Mersey 2 River Road 2,NA,Retrieved,2022-08-03,2022-10-04,61.87152778,44.0831884,-64.8094681,HOBO Pro V2,21082889,1,NA,NA,Cinderblock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12:04:00,NA,NA,NA,NA,NA,08:59:00,3,Gravel,"Boat ramp on left side of road. River right. Very low flow, no anchor used. Deployed to the right of ramp. Lots of algae and weeds. Photo of field sheet may say Mersey 1 River Road 1",Water level and flow similar to deployment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mersey,Mersey 4 Fish Hatchery Road 1,NA,Retrieved,2022-08-03,2022-10-04,61.86805556,44.1382427,-64.9305688,HOBO Pro V2,21152401,0.5,NA,NA,Cinderblock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12:30:00,NA,NA,NA,NA,NA,09:20:00,1,"Gravel, boulders","Across the bridge on fish hatchery road, boat ramp to the right just after the bridge. Deployed to the left of ramp. No anchor used.",Water level and flow similar to deployment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
