id,Logger_Model,Serial#,firmware_version,calibration_attendant,calibration_date,calibration_room_temp_c,calibration_water_temp_c,calibration_pressure_kpa,validation_variable,validation_attendant,Deployment,validation_start_time,validation_start_room_temp_c,validation_start_pressure_kpa,Retrieval,validation_end_time,validation_end_room_temp_c,validation_end_pressure_kpa,validation_status,percent_bad_temp,percent_bad_do,percent_bad_sal,Notes,...25,paste.r.results.2,paste.r.results.3,match,Logger_Latitude,Logger_Longitude,Sensor_Depth,Deployment_Waterbody,Lease#,configuration,Location_Description,deployment_datetime,retrieval_datetime
POST0023,aquaMeasure DOT,671022,NA,NA,NA,NA,NA,NA,DO,Anne,2024-08-08,13:40:00,NA,NA,2024-08-12,10:50:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.66,-63.56,1,bucket,bucket,attached to fixed structure,validation,2024-08-08T16:40:00Z,2024-08-09T13:50:00Z
POST0023,HOBO Temp,21152407,NA,NA,NA,NA,NA,NA,Temp,Anne,2024-08-08,11:30:00,NA,NA,2024-08-12,12:10:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,44.66,-63.56,1,bucket,bucket,attached to fixed structure,validation,2024-08-09T14:30:00Z,2024-08-12T15:10:00Z
POST0023,HOBO Temp,20291480,NA,NA,NA,NA,NA,NA,Temp,Anne,2024-08-08,11:30:00,NA,NA,2024-08-12,12:10:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,44.66,-63.56,1,bucket,bucket,attached to fixed structure,validation,2024-08-09T14:30:00Z,2024-08-12T15:10:00Z
POST0023,HOBO Temp,20330413,NA,NA,NA,NA,NA,NA,Temp,Anne,2024-08-08,11:30:00,NA,NA,2024-08-12,12:10:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,44.66,-63.56,1,bucket,bucket,attached to fixed structure,validation,2024-08-09T14:30:00Z,2024-08-12T15:10:00Z
POST0023,HOBO Temp,20495241,NA,NA,NA,NA,NA,NA,Temp,Anne,2024-08-08,11:30:00,NA,NA,2024-08-12,12:10:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,44.66,-63.56,1,bucket,bucket,attached to fixed structure,validation,2024-08-09T14:30:00Z,2024-08-12T15:10:00Z
